id,probability,actual
153,3.0004245e-05,0.0
153,3.0586085e-05,0.0
153,0.99997604,1.0
153,0.00021428027,0.0
153,6.67337e-05,0.0
153,0.9999695,1.0
153,2.822277e-05,0.0
153,3.0649655e-05,0.0
153,0.9999778,1.0
153,2.7011307e-05,0.0
153,2.9710885e-05,0.0
153,0.9999765,1.0
153,2.991636e-05,0.0
153,3.354282e-05,0.0
153,0.999974,1.0
153,2.8280698e-05,0.0
153,3.0515263e-05,0.0
153,0.99997735,1.0
153,4.349194e-05,0.0
153,6.274705e-05,0.0
153,0.9999714,1.0
153,2.873448e-05,0.0
153,2.9858644e-05,0.0
153,0.99997604,1.0
153,0.9996742,1.0
153,0.00025702408,0.0
153,0.0006308324,0.0
153,3.289121e-05,0.0
153,3.17843e-05,0.0
153,0.9999722,1.0
153,2.9502517e-05,0.0
153,3.075207e-05,0.0
153,0.9999765,1.0
153,2.7249127e-05,0.0
153,2.9111192e-05,0.0
153,0.99997485,1.0
1130,2.9605615e-05,0.0
1130,3.0191648e-05,0.0
1130,0.99997306,1.0
1130,0.9998204,1.0
1130,0.00028215803,0.0
1130,0.0007391703,0.0
1130,2.961533e-05,0.0
1130,2.9493405e-05,0.0
1130,0.99997556,1.0
1130,2.809875e-05,0.0
1130,3.0544088e-05,0.0
1130,0.9999701,1.0
1130,2.7094668e-05,0.0
1130,3.245986e-05,0.0
1130,0.9999703,1.0
1130,2.8842014e-05,0.0
1130,3.1203577e-05,0.0
1130,0.9999745,1.0
1130,3.7649297e-05,0.0
1130,5.0218045e-05,0.0
1130,0.9999691,1.0
1130,2.8783517e-05,0.0
1130,2.986451e-05,0.0
1130,0.99997294,1.0
1130,0.9996526,1.0
1130,0.00033875892,0.0
1130,0.0005790389,0.0
1130,2.8474731e-05,0.0
1130,3.032227e-05,0.0
1130,0.9999714,1.0
1130,3.1059823e-05,0.0
1130,3.120614e-05,0.0
1130,0.9999716,1.0
1130,2.8735163e-05,0.0
1130,2.9151777e-05,0.0
1130,0.9999713,1.0
1271,4.0625324e-05,0.0
1271,3.7528604e-05,0.0
1271,0.9999715,1.0
1271,0.010427978,0.0
1271,0.95968854,1.0
1271,0.0058045126,0.0
1271,2.7038599e-05,0.0
1271,3.0268213e-05,0.0
1271,0.9999746,1.0
1271,3.648953e-05,0.0
1271,4.743665e-05,0.0
1271,0.99997234,1.0
1271,3.049461e-05,0.0
1271,3.8591927e-05,0.0
1271,0.9999695,1.0
1271,3.0851763e-05,0.0
1271,3.220173e-05,0.0
1271,0.9999745,1.0
1271,0.83275115,1.0
1271,0.8884292,0.0
1271,0.018727433,0.0
1271,2.8359882e-05,0.0
1271,3.31152e-05,0.0
1271,0.9999728,1.0
1271,3.2640142e-05,0.0
1271,4.9289545e-05,0.0
1271,0.99997187,1.0
1271,4.581207e-05,0.0
1271,3.9855477e-05,0.0
1271,0.9999714,1.0
1271,3.0124347e-05,0.0
1271,3.11253e-05,0.0
1271,0.9999714,1.0
1271,7.3098745e-05,0.0
1271,0.0003056568,0.0
1271,0.99996865,1.0
1089,3.422747e-05,0.0
1089,3.745649e-05,0.0
1089,0.9999702,1.0
1089,0.50652844,0.0
1089,0.9717111,1.0
1089,0.002166277,0.0
1089,2.841511e-05,0.0
1089,3.3554144e-05,0.0
1089,0.9999702,1.0
1089,3.902058e-05,0.0
1089,4.40978e-05,0.0
1089,0.9999682,1.0
1089,3.115556e-05,0.0
1089,3.9426526e-05,0.0
1089,0.99996567,1.0
1089,2.9201472e-05,0.0
1089,3.4279015e-05,0.0
1089,0.9999739,1.0
1089,5.5073673e-05,0.0
1089,8.0548474e-05,0.0
1089,0.99996734,1.0
1089,2.9293908e-05,0.0
1089,3.450986e-05,0.0
1089,0.9999708,1.0
1089,3.0999225e-05,0.0
1089,4.421794e-05,0.0
1089,0.99996936,1.0
1089,4.564431e-05,0.0
1089,4.7749265e-05,0.0
1089,0.99996996,1.0
1089,3.236601e-05,0.0
1089,3.5617304e-05,0.0
1089,0.9999684,1.0
1089,2.8751476e-05,0.0
1089,3.932938e-05,0.0
1089,0.999972,1.0
731,3.0193805e-05,0.0
731,3.3097804e-05,0.0
731,0.9999764,1.0
731,3.062365e-05,0.0
731,3.51564e-05,0.0
731,0.9999752,1.0
731,2.9206905e-05,0.0
731,3.4720764e-05,0.0
731,0.9999778,1.0
731,2.8799412e-05,0.0
731,3.233621e-05,0.0
731,0.9999765,1.0
731,3.1259606e-05,0.0
731,3.684627e-05,0.0
731,0.9999764,1.0
731,2.967583e-05,0.0
731,3.3245917e-05,0.0
731,0.99997663,1.0
731,3.2411415e-05,0.0
731,3.576447e-05,0.0
731,0.99997413,1.0
731,3.013199e-05,0.0
731,3.2343614e-05,0.0
731,0.99997604,1.0
731,3.0225292e-05,0.0
731,3.2314474e-05,0.0
731,0.9999771,1.0
731,6.48685e-05,0.0
731,3.4544497e-05,0.0
731,0.99997425,1.0
731,0.999876,0.0
731,0.00010929576,0.0
731,0.0013887767,1.0
731,2.9492112e-05,0.0
731,3.2336335e-05,0.0
731,0.999977,1.0
751,3.014774e-05,0.0
751,3.0794625e-05,0.0
751,0.99997234,1.0
751,8.1895814e-05,0.0
751,4.736469e-05,0.0
751,0.9999722,1.0
751,2.9614934e-05,0.0
751,3.0721407e-05,0.0
751,0.99997425,1.0
751,2.6545773e-05,0.0
751,2.9137245e-05,0.0
751,0.99996984,1.0
751,3.0639603e-05,0.0
751,3.2848606e-05,0.0
751,0.99997044,1.0
751,3.0205643e-05,0.0
751,3.237484e-05,0.0
751,0.9999758,1.0
751,3.0782114e-05,0.0
751,3.355683e-05,0.0
751,0.99997044,1.0
751,2.8653536e-05,0.0
751,3.0423445e-05,0.0
751,0.99997234,1.0
751,2.7776037e-05,0.0
751,2.9074623e-05,0.0
751,0.9999721,1.0
751,2.8438095e-05,0.0
751,3.0872896e-05,0.0
751,0.9999721,1.0
751,2.992238e-05,0.0
751,3.1292857e-05,0.0
751,0.99997187,1.0
751,2.9649123e-05,0.0
751,3.237422e-05,0.0
751,0.99996996,1.0
705,3.0714553e-05,0.0
705,3.3259486e-05,0.0
705,0.9999721,1.0
705,0.005416725,0.0
705,0.00042620522,0.0
705,0.9998272,1.0
705,2.8168079e-05,0.0
705,3.2265543e-05,0.0
705,0.99997604,1.0
705,0.000105821775,0.0
705,4.6836652e-05,0.0
705,0.99997044,1.0
705,0.0001560575,0.0
705,7.4497526e-05,0.0
705,0.9999677,1.0
705,2.9099643e-05,0.0
705,3.3024662e-05,0.0
705,0.999972,1.0
705,3.3791774e-05,0.0
705,4.4173223e-05,0.0
705,0.9999702,1.0
705,3.0303569e-05,0.0
705,3.2619973e-05,0.0
705,0.9999732,1.0
705,2.8305762e-05,0.0
705,3.4682045e-05,0.0
705,0.99997175,1.0
705,3.523299e-05,0.0
705,3.191241e-05,0.0
705,0.99996924,1.0
705,0.00019921277,0.0
705,4.1799336e-05,0.0
705,0.9999676,1.0
705,2.706667e-05,0.0
705,3.0212646e-05,0.0
705,0.9999708,1.0
316,2.9918414e-05,0.0
316,3.1643543e-05,0.0
316,0.99997234,1.0
316,0.001388867,0.0
316,0.0015096039,0.0
316,0.99992085,1.0
316,2.8375733e-05,0.0
316,3.0749958e-05,0.0
316,0.99997485,1.0
316,0.01230697,1.0
316,0.8774467,0.0
316,0.5044543,0.0
316,2.897249e-05,0.0
316,3.3043216e-05,0.0
316,0.9999709,1.0
316,2.7648153e-05,0.0
316,3.1823973e-05,0.0
316,0.99997306,1.0
316,3.3333377e-05,0.0
316,4.8373637e-05,0.0
316,0.99996877,1.0
316,2.82165e-05,0.0
316,3.1673855e-05,0.0
316,0.99997234,1.0
316,2.9047074e-05,0.0
316,4.4771285e-05,0.0
316,0.9999689,1.0
316,2.8484563e-05,0.0
316,3.1539934e-05,0.0
